event_id,date,damage_mod
1,2021-06-01,0.0
2,2021-06-02,0.0
3,2021-06-03,0.0
4,2021-06-04,0.0
5,2021-06-05,895829.3480026146
6,2021-06-06,0.0
7,2021-06-07,0.0
8,2021-06-08,0.0
9,2021-06-09,0.0
10,2021-06-10,1767431.7360227604
11,2021-06-11,0.0
12,2021-06-12,0.0
13,2021-06-13,0.0
14,2021-06-14,0.0
15,2021-06-15,10510565.784075929
16,2021-06-16,0.0
17,2021-06-17,0.0
18,2021-06-18,0.0
19,2021-06-19,0.0
20,2021-06-20,2804460.7911825525
21,2021-06-21,0.0
22,2021-06-22,0.0
23,2021-06-23,0.0
24,2021-06-24,0.0
25,2021-06-25,355559.98968761385
26,2021-06-26,0.0
27,2021-06-27,0.0
28,2021-06-28,0.0
29,2021-06-29,0.0
30,2021-06-30,0.0
31,2021-07-01,0.0
